Allen, Miss Elisabeth Walton
Allison, Master Hudson Trevor
Anderson, Mr Harry
Andrews, Miss Kornelia Theodosia
Appleton, Mrs Edward Dale (Charlotte Lamson)
Astor, Mrs John Jacob (Madeleine Talmadge Force)
Aubert, Mrs Leontine Pauline
Barkworth, Mr Algernon H
Baxter, Mrs James (Helene DeLaudeniere Chaput)
Beckwith, Mr Richard Leonard
Beckwith, Mrs Richard Leonard (Sallie Monypeny)
Behr, Mr Karl Howell
Bishop, Mr Dickinson H
Bishop, Mrs Dickinson H (Helen Walton)
Bjornstrm-Steffansson, Mr Mauritz Hakan
Blank, Mr Henry
Bonnell, Miss Caroline
Bonnell, Miss Elizabeth
Bowen, Miss Grace Scott
Bowerman, Miss Elsie Edith
Bradley, Mr George
Brown, Mrs James Joseph (Margaret Molly" Tobin)"
Brown, Mrs John Murray (Caroline Lane Lamson)
Bucknell, Mrs William Robert (Emma Eliza Ward)
Calderhead, Mr Edward P
Candee, Mrs Edward (Helen Churchill Hungerford)
Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)
Cardeza, Mr Thomas Drake Martinez
Carter, Mr William Ernest
Carter, Mrs William Ernest (Lucile Polk)
Carter, Miss Lucile Polk
Carter, Master William T II
Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)
Cavendish, Mrs Tyrell William Julia Florence Siegel
Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)
Chambers, Mr Norman Campbell
Chambers, Mrs Norman Campbell (Bertha Griggs)
Cherry, Miss Gladys
Chevre, Mr Paul
Chibnall (Bowerman), Mrs Edith Martha
Clark, Mrs Walter Miller (Virginia McDowell)
Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)
Compton, Miss Sara Rebecca
Cornell, Mrs Robert Clifford (Malvina Helen Lamson)
Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)
Crosby, Miss Harriet R
Cumings, Mrs John Bradley (Florence Briggs Thayer)
Daly, Mr Peter Denis 
Daniel, Mr Robert Williams
Davidson, Mrs Thornton (Orian Hays)
de Villiers, Madame Berthe
Dick, Mr Albert Adrian
Dick, Mrs Albert Adrian Vera Gillespie
Dodge, Dr Washington
Dodge, Mrs Washington (Ruth Vidaver)
Dodge, Master Washington
Douglas, Mrs Frederick Charles (Suzette Baxter)
Douglas, Mrs Walter Donald (Mahala Dutton)
Duff Gordon, Sir Cosmo Edmund
Duff Gordon, Lady (Lucille Wallace Sutherland)
Earnshaw, Mrs Boulton (Olive Potter)
Eustis, Miss Elizabeth Mussey
Flegenheim, Mrs Alfred (Antoinette)
Flynn, Mr John Irving
Fortune, Miss Alice Elizabeth
Fortune, Miss Ethel Flora
Fortune, Miss Mabel
Fortune, Mrs Mark (Mary McDougald)
Frauenthal, Dr Henry William
Frauenthal, Mrs Henry William (Clara Heinsheimer)
Frauenthal, Mr Isaac Gerald
Frolicher, Miss Marguerite
Frolicher-Stehli, Mr Maxmillian
Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)
Futrelle, Mrs Jacques (May Peel)
Gibson, Miss Dorothy
Gibson, Mrs Leonard (Pauline C Boeson)
Goldenberg, Mr Samuel L
Goldenberg, Mrs Samuel L (Edwiga Grabowsko)
Gracie, Colonel Archibald IV
Graham, Miss Margaret Edith
Graham, Mrs William Thompson (Edith Junkins)
Greenfield, Mrs Leo David (Blanche Strouse)
Greenfield, Mr William Bertram
Harder, Mr George Achilles
Harder, Mrs George Achilles (Dorothy Annan)
Harper, Mr Henry Sleeper
Harper, Mrs Henry Sleeper (Myna Haxtun)
Harris, Mrs Henry Birkhardt (Irene Wallach)
Hawksford, Mr Walter James
Hays, Mrs Charles Melville (Clara Jennings Gregg)
Hays, Miss Margaret Bechstein
Hippach, Miss Jean Gertrude
Hippach, Mrs Louis Albert (Ida Sophia Fischer)
Hogeboom, Mrs John C (Anna Andrews)
Holverson, Mrs Alexander Oskar (Mary Aline Towner)
Homer, Mr Harry
Hoyt, Mr Frederick Maxfield
Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)
Ismay, Mr Joseph Bruce
Kenyon, Mrs Frederick R (Marion)
Kimball, Mr Edwin Nelson Jr
Kimball, Mrs Edwin Nelson Jr (Gertrude Parsons)
Leader, Dr Alice Farnham
Lindstrom, Mrs Carl Johan (Sigrid Posse)
Lines, Mrs Ernest H (Elizabeth Lindsey James)
Lines, Miss Mary Conover
Longley, Miss Gretchen Fiske
Madill, Miss Georgette Alexandra
Marechal, Mr Pierre
Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson)
McGough, Mr James R
Meyer, Mrs Edgar Joseph (Leila Saks)
Minahan, Miss Daisy E
Minahan, Mrs William Edward (Lillian E Thorpe)
Mock, Mr Philip E
Newell, Miss Madeleine
Newell, Miss Marjorie
Newsom, Miss Helen Monypeny
Omont, Mr A Fernand
Ostby, Miss Helen Raghnild
Pears, Mrs Thomas (Edith)
Penasco, Mrs Victor de Satode (Josefa de Soto)
Peuchen, Major Arthur Godfrey
Potter, Mrs Thomas, Jr (Lily Alexenia Wilson)
Rheims, Mr George Lucien
Robert, Mrs Edward Scott (Elisabeth Walton McMillan)
Romaine, Mr Charles Hallace
Rosenbaum (Russell), Miss Edith Louise
Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)
Rothschild, Mrs Martin (Elizabeth L Barrett)
Ryerson, Mrs Arthur Larned (Emily Maria Borie)
Ryerson, Miss Emily Borie
Ryerson, Master John Borie
Ryerson, Miss Susan (Suzette) Parker
Saalfeld, Mr Adolphe
Salomon, Mr Abraham L
Schabert, Mrs Paul (Emma Mock)
Seward, Mr Frederic Kimber
Shutes, Miss Elizabeth W
Silverthorne, Mr Spencer Victor
Silvey, Mrs William Baird (Alice Munger)
Simonius-Blumer, Col Alfons
Sloper, Mr William Thompson
Smith, Mrs Lucien Philip (Mary Eloise Hughes
Snyder, Mr John Pillsbury
Snyder, Mrs John Pillsbury (Nelle Stevenson)
Spedden, Mr Frederick Oakley
Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)
Spedden, Master Robert Douglas
Spencer, Mrs William Augustus (Marie Eugenie)
Staehlin, Dr Max
Stengel, Mr Charles Emil Henry
Stengel, Mrs Charles Emil Henry (Annie May Morris)
Stephenson, Mrs Walter Bertram (Martha Eustis)
Stone, Mrs George Nelson (Martha E)
Swift, Mrs Frederick Joel (Margaret Welles Barron)
Taussig, Mrs Emil (Tillie Mandelbaum)
Taussig, Miss Ruth
Taylor, Mr Elmer Zebley
Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)
Thayer, Mrs John Borland (Marian Longstreth Morris)
Thayer, Mr John Borland, jr
Thorne, Mrs Gertrude Maybelle
Tucker, Mr Gilbert Milligan, jr
Warren, Mrs Frank Manley (Anna S Atkinson)
White, Mrs J Stuart (Ella Holmes)
Wick, Mrs George Dennick (Martha Hitchcock)
Wick, Miss Mary Natalie
Widener, Mrs George Dunton (Eleanor Elkins)
Willard, Miss Constance
Williams, Mr Richard Norris II
Woolner, Mr Hugh
Young, Miss Marie Grice
Barber, Ms 
Bazzani, Ms Albina
Bidois, Miss Rosalie
Bird, Ms Ellen
Bissetti, Ms Amelia
Burns, Ms Elizabeth Margaret
Chaudanson, Ms 	Victorine
Cleaver, Ms Alice
Daniels, Ms Sarah
Endres, Miss Caroline Louise
Francatelli, Ms Laura Mabel
Geiger, Miss Emily 
Icabad (Icabod), Ms
Kenchen, Ms Amelia
LeRoy, Miss Berthe
Maloney, Ms
Pericault, Ms
Segesser, Mlle Emma
Wilson, Ms Helen
Abelson, Mrs Samuel (Anna)
Angle, Mrs William A (Florence)
Balls, Mrs Ada E Hall
Beane, Mr Edward
Beane, Mrs Edward (Ethel Clarke)
Becker, Mrs Allen Oliver (Nellie E Baumgardner)
Becker, Miss Marion Louise
Becker, Master Richard F
Becker, Miss Ruth Elizabeth
Beesley, Mr Lawrence
Bentham, Miss Lilian W
Brown, Miss Edith E
Brown, Mrs Thomas William Solomon (Elizabeth C)
Bryhl, Miss Dagmar
Buss, Miss Kate
Bystrom, Mrs Carolina
Caldwell, Mr Albert Francis
Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh)
Caldwell, Master Alden Gates
Cameron, Miss Clear
Christy, Mrs Alice Frances
Christy, Miss Julie
Clarke, Mrs Charles V (Ada Maria)
Collett, Mr Sidney C Stuart
Collyer, Mrs Harvey (Charlotte Tate)
Collyer, Miss Marjorie
Davis, Mrs Agnes
Davis, Master John Morgan
Davis, Miss Mary
del Carlo, Mrs Sebastiano (Argenia Genovese)
Doling, Mrs Ada
Doling, Miss Elsie
Drew, Mrs James Vivian (Lulu Thorne Christian)
Drew, Master Marshall Brines
Duran y More, Miss Asuncion
Duran y More, Miss Florentina
Faunthorpe, Mrs Lizzie (see Wilkinson, E)
Garside, Miss Ethel
Hamalainen, Mrs William (Anna)
Hamalainen, Master Viljo
Harper, Miss Nina
Harris, Mr George
Hart, Mrs Benjamin (Esther)
Hart, Miss Eva Miriam
Herman, Miss Alice
Herman, Miss Kate
Herman, Mrs Samuel (Jane Laver)
Hewlett, Mrs Mary D
Hocking, Mrs Elizabeth
Hocking, Miss Ellen (Nellie)
Hold, Mrs Stephen (Annie Margaret)
Hosono, Mr Masafumi
Ilett, Miss Bertha
Jacobsohn, Mrs Sidney Samuel (Amy Frances Christy)
Jerwan, Mrs Amin S (Marie Thuillard)
Kantor, Mrs Sinai (Miriam Sternim)
Keane, Miss Nora A
Kelly, Mrs Florence (Fannie)
Lemore, Mrs Amelia
LaRoche, Mrs Joseph (Juliet)
LaRoche, Miss Louise
LaRoche, Miss Simonne
Lehmann, Miss Bertha
Leitch, Miss Jessie
Louch, Mrs Charles Alexander (Alice Adelaide)
Mallet, Mrs Albert (Antoinette)
Mallet, Master Andre
Marshall, Mrs Kate Louise Phillips
Mellenger, Mrs Elizabeth Anne
Mellenger, Miss Madeleine Violet
Mellor, Mr William John
Nasser (Nasrallah), Mrs Nicholas
Navratil, Master Edmond Roger
Navratil, Master Michel M
Nourney, Mr Alfred (aka Baron von Drachstedt)
Nye, Mrs Elizabeth Ramell
Oxenham, Mr Percy Thomas
Padro y Manent, Mr Julian
Pallas y Castello, Mr Emilio
Parrish, Mrs Lutie Davis
Phillips, Miss Alice
Pinsky, Miss Rosa
Portaluppi, Mr Emilio
Quick, Mrs Frederick C (Jane Richards)
Quick, Miss Phyllis May
Quick, Miss Winifred Vera
Renouf, Mrs Peter Henry (Lillian Jefferys)
Reynaldo, Mrs Encarnacion
Richards, Master George Sidney
Richards, Mrs Sidney (Emily Hocking)
Richards, Master William Rowe
Ridsdale, Miss Lucy
Rugg, Miss Emily
Shelley, Mrs William (Imanita)
Silven, Miss Lyyli
Sincock, Miss Maude
Siukonnen, Miss Anna
Slayter, Miss Hilda Mary
Smith, Miss Marion
Toomey, Miss Ellen
Trout, Mrs William H (Jessie L)
Troutt, Miss Edwina Celia
Walcroft, Miss Nellie
Ware, Mrs John James (Florence Louise Long)
Watt, Miss Bertha
Watt, Mrs James (Bessie Inglis Milne)
Webber, Miss Susan
Weisz, Mrs Leopold (Mathilde)
Wells, Mrs Arthur H (Addie Trevaskis)
Wells, Miss Joan
Wells, Master Ralph Lester
West, Miss Barbara J
West, Miss Constance Mirium
West, Mrs Edwy Arthur (Ada Mary)
Wilhelms, Mr Charles
Wilkinson, Mrs Elizabeth Anne
Williams, Mr Charles Eugene
Wright, Miss Marion
Brown, Miss Mildred
Abbott, Mrs Stanton (Rosa)
Abelseth, Miss Anna Karen
Abelseth, Mr Olaus
Abraham, Mrs Joseph (Sophie Easu)
Abrahamsson, Mr August
Aks, Mrs Sam (Leah Rosen)
Aks, Master Philip
Andersson, Miss Erna
Asplund, Mrs Carl Oscar (Selma Augusta Johansson)
Aspland, Master Edvin Rojj Felix
Asplund, Mr John Charles
Asplund, Miss Lillian Gertrud
Assaf, Mrs Mariana
Backstrom, Mrs Karl Alfred (Maria Mathilda Gustafsson)
Baclini, Miss Eugenie
Baclini, Miss Helene
Baclini, Miss Maria
Baclini, Mrs Solomon (Latifa)
Badman, Miss Emily Louisa
Banoura, Miss Ayout
Bing, Mr Lee
Bradley, Miss Bridget Delia
Buckley, Mr Daniel
Carr, Miss Helen
Cassem, Mr Nassef Belmenly
Cohen, Mr Gurshon (Gus)
Connolly, Miss Kate
Coutts, Mrs William (Minnie)
Coutts, Master Neville
Coutts, Master William Leslie
Cribb, Miss Laura Alice
Dahl, Mr Charles Edward
Daly, Mr Eugene
Daly, Miss Marcella
Davison, Mrs Thomas Henry (Mary Finck)
Dean, Mrs Bertram (Eva)
Dean, Master Bertram Vere
Dean, Miss Elizabeth Gladys (Millvena)
De Messemaeker, Mr William Joseph
De Messemaeker, Mrs William Joseph (Anna)
De Mulder, Mr Theo
Devaney, Miss Margaret
Dorkings, Mr Edward Arthur
Dowdell, Miss Elizabeth
Drapkin, Miss Jennie
Driscoll, Miss Bridget
Duquemin, Mr Joseph
Dyker, Mrs Adolf Fredrik (Anna Elizabeth Judith Andersson)
Emanuel, Miss Virginia Ethel
Finoli, Mr Luigi
Foo, Mr Choong
Georges, Mrs Shahini Weappi
Gilnagh, Miss Katie
Glynn, Miss Mary Agatha
Goldsmith, Mrs Frank John (Emily A Brown)
Goldsmith, Master Frank John William
Hakkarainen, Mrs Pekko Pietari
Hansen, Mrs Claus Peter
Hedman, Mr Oscar
Heikkinen, Miss Laina
Hellstrom, Hilda Maria
Hirvonen, Mrs Alexander
Honkanen, Miss Eluna
Howard, Miss May
Hyman, Mr Abraham
Jansen, Mr Carl Olof
Jensen, Miss Carla Christine
Jermyn, Miss Annie
Johansson, Mr Karl Johan
Johansson, Oscar L
Johnson, Miss Eleanor Ileen
Johnson, Master Harold Theodor
Jonsson, Mr Carl
Jussila, Mr Erik
Karlsson, Mr Einar Gervasius
Karun, Miss Anna Mary
Kelly, Miss Anna Kate
Kelly, Miss Mary
Kink, Mr Anton
Kink, Miss Louise Gretchen
Krekorian, Mr Neshan
Lam, Mr Ali
Landegren, Miss Aurora Adelia
Lang, Mr Fang
Leeni, Mr Fahim
Lindqvist, Eino William
Lulich, Mr Nicola
Lundin, Miss Olga Elida
Madigan, Miss Margaret
Mamee, Mr Hanna
Mannion, Miss Margareth
Masselmany, Mrs Fatima
McCarthy, Miss Katie
McGovern, Mrs Hugh
Midtsjo, Mr Karl Albert
Mocklare, Miss Helen Mary
Moor, Mrs Beila
Moran, Miss Bertha
Moubarek (Borak), Mr Hanna (John)
Mullins, Miss Katie
Nackid, Miss Maria
Najib, Miss Adele Kiamie
Nicola-Yarred, Miss Jamila
Nilsson, Miss Berta Olivia
Novel, Mansouer
O'Brien, Mrs Thomas
Odahl, Mr Nils Martin
Olsson, Mr Oscar Johansson
Osman, Miss Maria
Pekoniemi, Mr Edvard
Persson, Mr Ernst Ulrik
Pickard (Trembisky), Mr Berk
Riordan, Miss Hannah
Roth, Miss Sarah
Ryan, Mr Edward Ryan
Saad, Khalil
Salkjelsvik, Miss Anna
Sandstrom, Miss Hjalmar
Sheerlinck, Mr Jean
Shine, Miss Ellen
Sjoblom, Miss Anna Sofia
Smyth, Miss Julia
Sop, Mr Jules
Stanley, Miss Amy Zilla Elsie
Stranden, Mr Juho
Sunderland, Mr Victor Francis
Svensson, Mr Johan Cervin
Tenglin, Mr Gunnar Isidor
Thomas, Mrs Alexander
Thorneycroft, Mrs Percival
Tornquist, Mr William Henry
Turja, Miss Anna Sofia
Turkula, Mrs Hedvig
Vartunian, Mr David
Wennerstrom, Mr August Edvard
Wilkes, Mrs Ellen
Yalsevac, Mr Ivan
Yasbeck, Mrs Antoni
